epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,445.246,2.06582,1.49593,1.74207,0.50104,0.64,0.55866,0.26367,1.78688,1.56052,1.75497,0.00151688,0.00151688,0.00151688
124,448.654,1.9674,1.60631,1.76622,0.53367,0.64,0.64625,0.23447,2.1555,1.67019,1.84499,0.00151292,0.00151292,0.00151292
125,452.233,1.75068,1.48571,1.47969,0.67878,0.67635,0.72973,0.31409,1.7019,1.41603,1.71012,0.00150896,0.00150896,0.00150896
126,455.716,1.82474,1.47109,1.59824,0.65007,0.76,0.71892,0.29791,1.80439,1.36332,1.74824,0.001505,0.001505,0.001505
127,459.139,1.94203,1.51106,1.53386,0.65251,0.75135,0.70628,0.25498,2.17918,1.49973,1.93397,0.00150104,0.00150104,0.00150104
128,462.558,1.93512,1.63622,1.67288,0.65311,0.64,0.72287,0.27023,1.91404,1.51962,1.80629,0.00149708,0.00149708,0.00149708
129,465.985,1.82472,1.50109,1.60335,0.58256,0.84,0.67324,0.26493,1.89034,1.54842,1.81379,0.00149312,0.00149312,0.00149312
130,469.415,1.7858,1.42702,1.53296,0.56877,0.76,0.74237,0.27276,1.92301,1.39371,1.82582,0.00148916,0.00148916,0.00148916
131,472.853,1.71989,1.39552,1.49031,0.71173,0.76,0.70509,0.28346,1.85535,1.67851,1.80267,0.0014852,0.0014852,0.0014852
132,476.382,1.91707,1.51606,1.56499,0.7676,0.64,0.7823,0.33956,1.83485,1.98253,1.75153,0.00148124,0.00148124,0.00148124
133,479.957,2.04634,1.59676,1.66895,0.42607,0.59405,0.48796,0.19313,2.0874,1.68912,1.86581,0.00147728,0.00147728,0.00147728
134,483.365,1.8484,1.51534,1.72843,0.5834,0.64,0.5924,0.22639,1.97291,1.67332,1.94584,0.00147332,0.00147332,0.00147332
135,486.788,1.7372,1.43833,1.55561,0.65895,0.69593,0.70591,0.3304,1.82537,1.81364,1.72377,0.00146936,0.00146936,0.00146936
136,490.265,1.81069,1.44881,1.55651,0.79173,0.45685,0.6286,0.27528,1.78253,3.05363,1.78672,0.0014654,0.0014654,0.0014654
137,493.777,1.89586,1.48305,1.537,0.65866,0.77215,0.79029,0.32953,1.8651,1.42301,1.83753,0.00146144,0.00146144,0.00146144
138,497.227,1.85498,1.75032,1.67215,0.62149,0.6,0.61077,0.25696,1.95128,1.56841,1.85959,0.00145748,0.00145748,0.00145748
139,500.795,1.91787,1.47933,1.67788,0.5851,0.68,0.65593,0.25254,1.96213,1.46661,1.84315,0.00145352,0.00145352,0.00145352
140,504.264,1.78885,1.45567,1.66023,0.62157,0.64,0.68158,0.30047,1.95697,1.42927,1.86281,0.00144956,0.00144956,0.00144956
141,507.689,1.82443,1.42143,1.57965,0.49697,0.67199,0.58424,0.21689,2.00903,1.76179,1.86453,0.0014456,0.0014456,0.0014456
142,511.127,1.76359,1.45203,1.65529,0.77471,0.6,0.67066,0.28472,1.91464,1.41274,1.80422,0.00144164,0.00144164,0.00144164
143,514.586,1.84323,1.41978,1.58533,0.798,0.79038,0.79274,0.35024,1.73379,1.45636,1.69258,0.00143768,0.00143768,0.00143768
144,518.128,1.6244,1.43919,1.48319,0.74843,0.6,0.77079,0.32709,1.89769,1.7919,1.79663,0.00143372,0.00143372,0.00143372
