epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
121,423.891,2.14889,1.85371,2.35491,0.38764,0.53333,0.43422,0.12905,1.9789,1.83383,2.55166,0.00166057,0.00166057,0.00166057
122,427.115,1.92022,1.8832,2.20515,0.53133,0.53333,0.59879,0.18611,1.95428,1.8039,2.58897,0.00165774,0.00165774,0.00165774
123,430.336,1.81284,1.82852,2.04794,0.54857,0.66667,0.54525,0.2113,2.07937,1.73947,2.62896,0.00165491,0.00165491,0.00165491
124,433.605,2.09467,1.89413,2.33359,0.43599,0.53333,0.50993,0.19916,2.05372,1.62553,2.60039,0.00165209,0.00165209,0.00165209
125,436.892,1.99322,2.00746,2.34428,0.53853,0.70104,0.55399,0.24484,1.87693,2.31132,2.5751,0.00164926,0.00164926,0.00164926
126,440.125,1.86025,1.97049,2.09732,0.44266,0.5297,0.55481,0.2668,1.97947,1.86725,2.60798,0.00164643,0.00164643,0.00164643
127,443.388,2.05631,1.80756,2.35962,0.60711,0.33333,0.51217,0.22533,2.12152,1.7123,2.69811,0.0016436,0.0016436,0.0016436
128,446.608,2.0633,1.78797,2.20739,0.52853,0.3009,0.43957,0.17307,2.18566,3.49367,2.65165,0.00164077,0.00164077,0.00164077
129,449.909,2.14565,1.95164,2.40871,0.40721,0.77905,0.4666,0.18417,2.01259,5.422,2.5853,0.00163794,0.00163794,0.00163794
130,453.17,1.82515,2.11764,2.11459,0.40502,0.66667,0.52597,0.20458,2.10572,4.3252,2.65596,0.00163511,0.00163511,0.00163511
131,456.436,2.00019,2.04723,2.39664,0.30598,0.66667,0.4288,0.19567,2.08197,1.90197,2.59895,0.00163229,0.00163229,0.00163229
132,459.695,1.65637,1.78207,2.0231,0.32701,0.4,0.53721,0.28025,1.99925,1.6171,2.56701,0.00162946,0.00162946,0.00162946
133,462.877,1.91558,1.80976,2.10069,0.5518,0.73894,0.63842,0.22666,2.34602,1.77891,2.78694,0.00162663,0.00162663,0.00162663
134,466.108,1.93744,2.00018,2.21027,0.70013,0.46667,0.65683,0.29161,2.07692,2.05047,2.68151,0.0016238,0.0016238,0.0016238
135,469.379,2.02745,2.11261,2.24499,0.62639,0.33333,0.47526,0.22772,1.91063,1.83048,2.59032,0.00162097,0.00162097,0.00162097
136,472.638,1.86577,1.80056,2.12029,0.27245,0.35014,0.30994,0.15619,1.93515,2.03058,2.55733,0.00161814,0.00161814,0.00161814
137,475.861,1.79329,1.90773,2.07848,0.37116,0.43379,0.47105,0.16914,1.97045,3.15315,2.63997,0.00161531,0.00161531,0.00161531
138,479.107,1.97388,1.71382,2.27794,0.57923,0.6,0.56351,0.18143,1.9207,1.90187,2.59604,0.00161249,0.00161249,0.00161249
